2006,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared otherwise,v52126862,46.2.6,393.00
2007,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared otherwise,v52126862,46.2.6,749.00
2008,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared otherwise,v52126862,46.2.6,677.00
2009,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared otherwise,v52126862,46.2.6,723.00
2010,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared otherwise,v52126862,46.2.6,757.00
2011,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared otherwise,v52126862,46.2.6,562.00
2012,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared otherwise,v52126862,46.2.6,800.00
2013,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared otherwise,v52126862,46.2.6,807.00
2014,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared otherwise,v52126862,46.2.6,564.00
2015,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Cleared otherwise,v52126862,46.2.6,451.00
2005,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total persons charged,v52126865,46.2.7,..
2006,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total persons charged,v52126865,46.2.7,1809.00
2007,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total persons charged,v52126865,46.2.7,1760.00
2008,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total persons charged,v52126865,46.2.7,1710.00
2009,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total persons charged,v52126865,46.2.7,1881.00
2010,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total persons charged,v52126865,46.2.7,1901.00
2011,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total persons charged,v52126865,46.2.7,1643.00
2012,"Guelph, Ontario","Total, all Criminal Code violations (including traffic)",Total persons charged,v52126865,46.2.7,1637.00
